epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,20933.1,0.87671,0.47649,1.00522,0.86905,0.85007,0.8814,0.60509,0.867,0.40735,0.95098,0.007327,0.007327,0.007327
137,21086.3,0.86188,0.47359,0.99797,0.87249,0.84832,0.88174,0.60389,0.86754,0.40736,0.95124,0.0073072,0.0073072,0.0073072
138,21240.1,0.8607,0.46981,0.98464,0.87484,0.84651,0.88167,0.60429,0.8666,0.40719,0.9507,0.0072874,0.0072874,0.0072874
139,21393.3,0.86832,0.47999,0.98782,0.874,0.84577,0.88263,0.60521,0.86714,0.40622,0.9507,0.0072676,0.0072676,0.0072676
140,21546.9,0.84704,0.45808,0.98604,0.87625,0.84378,0.88197,0.60477,0.86593,0.40517,0.95071,0.0072478,0.0072478,0.0072478
141,21700.8,0.85045,0.4625,0.99037,0.88677,0.84069,0.8818,0.60658,0.86572,0.40477,0.95053,0.007228,0.007228,0.007228
142,21855,0.85042,0.46781,0.98438,0.88574,0.83993,0.88805,0.61084,0.86545,0.40407,0.95046,0.0072082,0.0072082,0.0072082
143,22008.9,0.86879,0.47568,0.99309,0.88202,0.84026,0.88783,0.61221,0.86623,0.40344,0.95097,0.0071884,0.0071884,0.0071884
144,22162.8,0.85031,0.46285,0.99084,0.88142,0.84153,0.88763,0.61045,0.86608,0.40402,0.95087,0.0071686,0.0071686,0.0071686
145,22316.8,0.86088,0.46673,0.99372,0.88076,0.84936,0.88782,0.60975,0.86582,0.40346,0.95054,0.0071488,0.0071488,0.0071488
146,22470.8,0.84094,0.46587,0.98491,0.88022,0.84017,0.88749,0.60899,0.86641,0.4024,0.95075,0.007129,0.007129,0.007129
147,22624.8,0.84272,0.46054,0.9856,0.86686,0.84352,0.8872,0.60962,0.86606,0.40211,0.95092,0.0071092,0.0071092,0.0071092
148,22778.7,0.83828,0.45767,0.98275,0.88088,0.83866,0.8872,0.61006,0.86655,0.40085,0.95103,0.0070894,0.0070894,0.0070894
149,22932.1,0.84316,0.45656,0.98288,0.86643,0.85316,0.88698,0.60878,0.86727,0.40101,0.95088,0.0070696,0.0070696,0.0070696
150,23085.6,0.8419,0.45595,0.98397,0.86504,0.85316,0.88668,0.60961,0.8671,0.40224,0.95109,0.0070498,0.0070498,0.0070498
151,23239.5,0.82698,0.44677,0.97543,0.86406,0.85316,0.88707,0.61088,0.86686,0.40039,0.95084,0.00703,0.00703,0.00703
152,23392.8,0.8281,0.45148,0.97949,0.86439,0.85316,0.88696,0.61113,0.86735,0.40197,0.95113,0.0070102,0.0070102,0.0070102
153,23546.1,0.82052,0.44997,0.98084,0.86599,0.8502,0.88712,0.61457,0.868,0.40195,0.95097,0.0069904,0.0069904,0.0069904
154,23699.7,0.84628,0.45942,0.98723,0.86405,0.84283,0.88762,0.61279,0.86888,0.40161,0.95054,0.0069706,0.0069706,0.0069706
155,23853.1,0.83408,0.4535,0.97941,0.86388,0.85077,0.88658,0.61167,0.86884,0.40092,0.95069,0.0069508,0.0069508,0.0069508
156,24006.3,0.82818,0.44554,0.9755,0.86205,0.84211,0.88684,0.612,0.86959,0.40158,0.95106,0.006931,0.006931,0.006931
157,24159.5,0.82457,0.45041,0.97472,0.86223,0.84257,0.88494,0.60975,0.86902,0.40221,0.95083,0.0069112,0.0069112,0.0069112
158,24312.5,0.82816,0.45246,0.9711,0.86147,0.84369,0.88537,0.60985,0.8678,0.40082,0.95035,0.0068914,0.0068914,0.0068914
159,24466,0.82193,0.4485,0.97611,0.86228,0.82972,0.8849,0.60852,0.86679,0.40119,0.95006,0.0068716,0.0068716,0.0068716
160,24619.5,0.82747,0.45182,0.97808,0.86377,0.82843,0.88556,0.60746,0.8667,0.40136,0.95,0.0068518,0.0068518,0.0068518
161,24772.8,0.80909,0.44494,0.96846,0.86271,0.82812,0.88531,0.60732,0.86746,0.40082,0.95056,0.006832,0.006832,0.006832
162,24925.6,0.7988,0.44185,0.97227,0.86173,0.82832,0.88522,0.60755,0.86744,0.4019,0.95067,0.0068122,0.0068122,0.0068122
163,25078.2,0.83171,0.44911,0.97663,0.87171,0.82805,0.88697,0.60909,0.86706,0.40273,0.95032,0.0067924,0.0067924,0.0067924
164,25231.8,0.81176,0.4445,0.96814,0.86658,0.82815,0.88768,0.61046,0.86641,0.40235,0.95013,0.0067726,0.0067726,0.0067726
165,25385.5,0.80586,0.4461,0.96908,0.86854,0.8285,0.88522,0.60903,0.86601,0.40257,0.9496,0.0067528,0.0067528,0.0067528
166,25539.5,0.81783,0.44215,0.97061,0.86802,0.82899,0.88495,0.60633,0.8658,0.40151,0.94956,0.006733,0.006733,0.006733
167,25693.2,0.80749,0.44088,0.97506,0.86637,0.82869,0.88492,0.60694,0.86651,0.40107,0.95009,0.0067132,0.0067132,0.0067132
168,25846.8,0.80526,0.44265,0.97465,0.86591,0.82883,0.88494,0.60893,0.86618,0.40165,0.94993,0.0066934,0.0066934,0.0066934
169,26001.1,0.80942,0.44565,0.97511,0.86957,0.82843,0.8844,0.60485,0.86681,0.40223,0.95041,0.0066736,0.0066736,0.0066736
170,26155.1,0.79926,0.4351,0.9645,0.86735,0.8282,0.88414,0.60644,0.86686,0.40262,0.95047,0.0066538,0.0066538,0.0066538
171,26308.6,0.80917,0.44537,0.9696,0.87033,0.82799,0.88392,0.60807,0.86742,0.40329,0.95098,0.006634,0.006634,0.006634
172,26461.8,0.80061,0.43178,0.96846,0.87277,0.82679,0.8842,0.60338,0.86741,0.40373,0.95107,0.0066142,0.0066142,0.0066142
173,26614.9,0.79487,0.441,0.96721,0.87208,0.82728,0.8857,0.60407,0.86742,0.40331,0.95102,0.0065944,0.0065944,0.0065944
174,26768.5,0.80492,0.44029,0.96606,0.86526,0.83014,0.88435,0.60373,0.86732,0.40302,0.9508,0.0065746,0.0065746,0.0065746
175,26922.2,0.78636,0.42887,0.96476,0.85909,0.83782,0.88624,0.60537,0.86682,0.40323,0.95098,0.0065548,0.0065548,0.0065548
176,27075.8,0.78245,0.42534,0.96107,0.86037,0.84483,0.88662,0.60378,0.86683,0.40297,0.95096,0.006535,0.006535,0.006535
177,27229.3,0.77766,0.43093,0.9581,0.86186,0.84314,0.88644,0.60604,0.86738,0.403,0.95121,0.0065152,0.0065152,0.0065152
178,27383.1,0.77832,0.42508,0.95657,0.86187,0.84217,0.88735,0.6127,0.86744,0.40361,0.95132,0.0064954,0.0064954,0.0064954
179,27536.8,0.78562,0.4303,0.9571,0.86253,0.84098,0.88649,0.61196,0.8676,0.40428,0.95146,0.0064756,0.0064756,0.0064756
180,27690.6,0.7843,0.42546,0.96548,0.86326,0.84252,0.88675,0.61135,0.86873,0.40403,0.95149,0.0064558,0.0064558,0.0064558
181,27844.3,0.78749,0.43303,0.95748,0.86407,0.84385,0.88651,0.60957,0.86873,0.40393,0.9518,0.006436,0.006436,0.006436
182,27997.8,0.77442,0.42528,0.95874,0.865,0.84675,0.88651,0.612,0.86858,0.40461,0.9519,0.0064162,0.0064162,0.0064162
