                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.70231,                 0.4683,                 1.0157,                0.99342,                 0.9582,                0.98297,                0.88186,                0.52804,                0.25824,                0.96224,                0.00406,                0.00406,                0.00406
                     62,                0.70226,                0.47022,                 1.0156,                0.99302,                 0.9592,                0.98298,                0.88349,                0.52667,                0.25798,                0.96176,               0.003961,               0.003961,               0.003961
                     63,                0.68849,                0.46024,                 1.0092,                0.99274,                0.95947,                0.98276,                0.88407,                0.52663,                0.25851,                0.96099,               0.003862,               0.003862,               0.003862
                     64,                0.69689,                0.46061,                 1.0145,                0.99303,                0.95881,                0.98337,                0.88463,                0.52266,                0.25457,                0.95882,               0.003763,               0.003763,               0.003763
                     65,                0.68939,                0.46103,                 1.0093,                0.98999,                0.96203,                0.98341,                0.88555,                0.52133,                0.25321,                0.95796,               0.003664,               0.003664,               0.003664
                     66,                0.68772,                0.45797,                 1.0111,                0.99268,                0.96067,                0.98353,                0.88648,                0.51913,                0.25292,                0.95756,               0.003565,               0.003565,               0.003565
                     67,                0.68685,                0.44841,                 1.0125,                0.99327,                0.95986,                0.98375,                0.88758,                0.51806,                0.25149,                0.95666,               0.003466,               0.003466,               0.003466
                     68,                0.68695,                0.45461,                 1.0131,                 0.9924,                0.96051,                0.98362,                0.88687,                0.51777,                0.25267,                0.95609,               0.003367,               0.003367,               0.003367
                     69,                0.68335,                 0.4491,                 1.0074,                0.99356,                0.96009,                 0.9839,                0.88804,                0.51679,                0.25214,                0.95532,               0.003268,               0.003268,               0.003268
                     70,                0.67856,                0.44934,                 1.0051,                0.99097,                0.96161,                0.98408,                0.88771,                0.51787,                0.25253,                0.95522,               0.003169,               0.003169,               0.003169
                     71,                0.67537,                0.44638,                  1.002,                0.99157,                0.96118,                0.98391,                0.88941,                0.51668,                0.25133,                 0.9546,                0.00307,                0.00307,                0.00307
                     72,                0.67381,                0.44427,                 1.0054,                0.99293,                0.96049,                0.98383,                0.89039,                0.51533,                0.25041,                0.95302,               0.002971,               0.002971,               0.002971
                     73,                0.67115,                0.44189,                 1.0021,                0.99397,                 0.9596,                0.98393,                0.89061,                0.51469,                0.25043,                0.95326,               0.002872,               0.002872,               0.002872
                     74,                0.67052,                0.44052,                 1.0029,                0.99244,                0.95942,                0.98389,                0.88989,                0.51409,                0.25029,                0.95337,               0.002773,               0.002773,               0.002773
                     75,                0.67333,                0.44086,                 1.0048,                0.99097,                0.96123,                0.98398,                0.89139,                0.51211,                0.24866,                0.95282,               0.002674,               0.002674,               0.002674
                     76,                0.66764,                0.43694,                0.99956,                0.98996,                0.96243,                0.98385,                0.89216,                0.51071,                0.24791,                0.95156,               0.002575,               0.002575,               0.002575
                     77,                0.66324,                 0.4323,                 1.0004,                 0.9922,                0.96001,                0.98389,                 0.8922,                0.50979,                0.24803,                0.95081,               0.002476,               0.002476,               0.002476
                     78,                0.65948,                0.43128,                 1.0012,                  0.992,                0.96016,                0.98387,                0.89245,                0.50885,                0.24784,                0.94994,               0.002377,               0.002377,               0.002377
                     79,                0.66267,                0.43604,                 1.0015,                0.99253,                0.96033,                0.98419,                0.89385,                0.50749,                0.24742,                0.94956,               0.002278,               0.002278,               0.002278
                     80,                0.65825,                0.42893,                0.99522,                0.99361,                0.95947,                0.98419,                0.89416,                0.50601,                0.24649,                0.94876,               0.002179,               0.002179,               0.002179
                     81,                0.65159,                0.42545,                0.99767,                0.99341,                0.95958,                0.98401,                0.89422,                0.50456,                0.24607,                0.94796,                0.00208,                0.00208,                0.00208
                     82,                0.65328,                 0.4261,                0.99454,                0.99339,                0.95994,                0.98387,                0.89471,                0.50432,                0.24628,                0.94763,               0.001981,               0.001981,               0.001981
                     83,                0.65746,                0.42981,                0.99404,                0.99264,                0.96025,                0.98409,                0.89489,                0.50372,                0.24591,                0.94728,               0.001882,               0.001882,               0.001882
                     84,                 0.6427,                0.41623,                0.99332,                0.99045,                0.96228,                0.98394,                0.89472,                0.50285,                 0.2459,                 0.9467,               0.001783,               0.001783,               0.001783
                     85,                0.65716,                0.42271,                0.99348,                0.99139,                0.96143,                0.98394,                0.89507,                0.50218,                 0.2458,                0.94637,               0.001684,               0.001684,               0.001684
                     86,                0.64021,                0.41378,                0.98953,                0.99195,                0.96106,                0.98409,                0.89486,                0.50191,                0.24508,                 0.9462,               0.001585,               0.001585,               0.001585
                     87,                0.64577,                0.41486,                0.99242,                0.99225,                0.96075,                0.98397,                0.89523,                0.50176,                0.24391,                0.94624,               0.001486,               0.001486,               0.001486
                     88,                0.63575,                0.41195,                0.98944,                0.99287,                0.96063,                0.98416,                0.89619,                 0.5009,                0.24363,                0.94582,               0.001387,               0.001387,               0.001387
                     89,                0.63498,                0.40656,                0.98934,                0.99222,                0.96146,                0.98418,                0.89696,                0.49911,                0.24293,                0.94496,               0.001288,               0.001288,               0.001288
                     90,                0.63483,                0.40743,                0.98728,                 0.9922,                0.96158,                0.98427,                0.89761,                0.49789,                0.24197,                0.94445,               0.001189,               0.001189,               0.001189
